# name|return_type|param_name:type,param_name:type
AMGetErrorTextW|UINT|hr:HRESULT,pbuffer:PWSTR,MaxLen:UINT
AVIBuildFilterA|HRESULT|lpszFilter:PSTR,cbFilter:INT,fSaving:BOOL
AVIBuildFilterW|HRESULT|lpszFilter:PWSTR,cbFilter:INT,fSaving:BOOL
AVIClearClipboard|HRESULT|
AVIFileAddRef|UINT|pfile:IAVIFile
AVIFileCreateStreamA|HRESULT|pfile:IAVIFile,ppavi:IAVIStream*,psi:AVISTREAMINFOA*
AVIFileCreateStreamW|HRESULT|pfile:IAVIFile,ppavi:IAVIStream*,psi:AVISTREAMINFOW*
AVIFileEndRecord|HRESULT|pfile:IAVIFile
AVIFileExit|void|
AVIFileGetStream|HRESULT|pfile:IAVIFile,ppavi:IAVIStream*,fccType:UINT,lParam:INT
AVIFileInfoA|HRESULT|pfile:IAVIFile,pfi:AVIFILEINFOA*,lSize:INT
AVIFileInfoW|HRESULT|pfile:IAVIFile,pfi:AVIFILEINFOW*,lSize:INT
AVIFileInit|void|
AVIFileOpenA|HRESULT|ppfile:IAVIFile*,szFile:PSTR,uMode:UINT,lpHandler:Guid*
AVIFileOpenW|HRESULT|ppfile:IAVIFile*,szFile:PWSTR,uMode:UINT,lpHandler:Guid*
AVIFileReadData|HRESULT|pfile:IAVIFile,ckid:UINT,lpData:void*,lpcbData:INT*
AVIFileRelease|UINT|pfile:IAVIFile
AVIFileWriteData|HRESULT|pfile:IAVIFile,ckid:UINT,lpData:void*,cbData:INT
AVIGetFromClipboard|HRESULT|lppf:IAVIFile*
AVIMakeCompressedStream|HRESULT|ppsCompressed:IAVIStream*,ppsSource:IAVIStream,lpOptions:AVICOMPRESSOPTIONS*,pclsidHandler:Guid*
AVIMakeFileFromStreams|HRESULT|ppfile:IAVIFile*,nStreams:INT,papStreams:IAVIStream*
AVIMakeStreamFromClipboard|HRESULT|cfFormat:UINT,hGlobal:HANDLE,ppstream:IAVIStream*
AVIPutFileOnClipboard|HRESULT|pf:IAVIFile
AVISaveA|HRESULT|szFile:PSTR,pclsidHandler:Guid*,lpfnCallback:AVISAVECALLBACK,nStreams:INT,pfile:IAVIStream,lpOptions:AVICOMPRESSOPTIONS*
AVISaveOptions|HANDLE|hwnd:HWND,uiFlags:UINT,nStreams:INT,ppavi:IAVIStream*,plpOptions:AVICOMPRESSOPTIONS**
AVISaveOptionsFree|HRESULT|nStreams:INT,plpOptions:AVICOMPRESSOPTIONS**
AVISaveVA|HRESULT|szFile:PSTR,pclsidHandler:Guid*,lpfnCallback:AVISAVECALLBACK,nStreams:INT,ppavi:IAVIStream*,plpOptions:AVICOMPRESSOPTIONS**
AVISaveVW|HRESULT|szFile:PWSTR,pclsidHandler:Guid*,lpfnCallback:AVISAVECALLBACK,nStreams:INT,ppavi:IAVIStream*,plpOptions:AVICOMPRESSOPTIONS**
AVISaveW|HRESULT|szFile:PWSTR,pclsidHandler:Guid*,lpfnCallback:AVISAVECALLBACK,nStreams:INT,pfile:IAVIStream,lpOptions:AVICOMPRESSOPTIONS*
AVIStreamAddRef|UINT|pavi:IAVIStream
AVIStreamBeginStreaming|HRESULT|pavi:IAVIStream,lStart:INT,lEnd:INT,lRate:INT
AVIStreamCreate|HRESULT|ppavi:IAVIStream*,lParam1:INT,lParam2:INT,pclsidHandler:Guid*
AVIStreamEndStreaming|HRESULT|pavi:IAVIStream
AVIStreamFindSample|INT|pavi:IAVIStream,lPos:INT,lFlags:INT
AVIStreamGetFrame|void*|pg:IGetFrame,lPos:INT
AVIStreamGetFrameClose|HRESULT|pg:IGetFrame
AVIStreamGetFrameOpen|IGetFrame|pavi:IAVIStream,lpbiWanted:BITMAPINFOHEADER*
AVIStreamInfoA|HRESULT|pavi:IAVIStream,psi:AVISTREAMINFOA*,lSize:INT
AVIStreamInfoW|HRESULT|pavi:IAVIStream,psi:AVISTREAMINFOW*,lSize:INT
AVIStreamLength|INT|pavi:IAVIStream
AVIStreamOpenFromFileA|HRESULT|ppavi:IAVIStream*,szFile:PSTR,fccType:UINT,lParam:INT,mode:UINT,pclsidHandler:Guid*
AVIStreamOpenFromFileW|HRESULT|ppavi:IAVIStream*,szFile:PWSTR,fccType:UINT,lParam:INT,mode:UINT,pclsidHandler:Guid*
AVIStreamRead|HRESULT|pavi:IAVIStream,lStart:INT,lSamples:INT,lpBuffer:void*,cbBuffer:INT,plBytes:INT*,plSamples:INT*
AVIStreamReadData|HRESULT|pavi:IAVIStream,fcc:UINT,lp:void*,lpcb:INT*
AVIStreamReadFormat|HRESULT|pavi:IAVIStream,lPos:INT,lpFormat:void*,lpcbFormat:INT*
AVIStreamRelease|UINT|pavi:IAVIStream
AVIStreamSampleToTime|INT|pavi:IAVIStream,lSample:INT
AVIStreamSetFormat|HRESULT|pavi:IAVIStream,lPos:INT,lpFormat:void*,cbFormat:INT
AVIStreamStart|INT|pavi:IAVIStream
AVIStreamTimeToSample|INT|pavi:IAVIStream,lTime:INT
AVIStreamWrite|HRESULT|pavi:IAVIStream,lStart:INT,lSamples:INT,lpBuffer:void*,cbBuffer:INT,dwFlags:UINT,plSampWritten:INT*,plBytesWritten:INT*
AVIStreamWriteData|HRESULT|pavi:IAVIStream,fcc:UINT,lp:void*,cb:INT
AbortDoc|INT|hdc:HDC
AbortPath|BOOL|hdc:HDC
AbortPrinter|BOOL|hPrinter:PRINTER_HANDLE
AbortSystemShutdownA|BOOL|lpMachineName:PSTR
AbortSystemShutdownW|BOOL|lpMachineName:PWSTR
AccNotifyTouchInteraction|HRESULT|hwndApp:HWND,hwndTarget:HWND,ptTarget:POINT
AccSetRunningUtilityState|HRESULT|hwndApp:HWND,dwUtilityStateMask:UINT,dwUtilityState:ACC_UTILITY_STATE_FLAGS
AcceptEx|BOOL|sListenSocket:SOCKET,sAcceptSocket:SOCKET,lpOutputBuffer:void*,dwReceiveDataLength:UINT,dwLocalAddressLength:UINT,dwRemoteAddressLength:UINT,lpdwBytesReceived:UINT*,lpOverlapped:OVERLAPPED*
AcceptSecurityContext|HRESULT|phCredential:SecHandle*,phContext:SecHandle*,pInput:SecBufferDesc*,fContextReq:ASC_REQ_FLAGS,TargetDataRep:UINT,phNewContext:SecHandle*,pOutput:SecBufferDesc*,pfContextAttr:UINT*,ptsExpiry:LONGLONG*
AccessCheck|BOOL|pSecurityDescriptor:PSECURITY_DESCRIPTOR,ClientToken:HANDLE,DesiredAccess:UINT,GenericMapping:GENERIC_MAPPING*,PrivilegeSet:PRIVILEGE_SET*,PrivilegeSetLength:UINT*,GrantedAccess:UINT*,AccessStatus:BOOL*
AccessCheckAndAuditAlarmA|BOOL|SubsystemName:PSTR,HandleId:void*,ObjectTypeName:PSTR,ObjectName:PSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,DesiredAccess:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatus:BOOL*,pfGenerateOnClose:BOOL*
AccessCheckAndAuditAlarmW|BOOL|SubsystemName:PWSTR,HandleId:void*,ObjectTypeName:PWSTR,ObjectName:PWSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,DesiredAccess:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatus:BOOL*,pfGenerateOnClose:BOOL*
AccessCheckByType|BOOL|pSecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,ClientToken:HANDLE,DesiredAccess:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,PrivilegeSet:PRIVILEGE_SET*,PrivilegeSetLength:UINT*,GrantedAccess:UINT*,AccessStatus:BOOL*
AccessCheckByTypeAndAuditAlarmA|BOOL|SubsystemName:PSTR,HandleId:void*,ObjectTypeName:PSTR,ObjectName:PSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatus:BOOL*,pfGenerateOnClose:BOOL*
AccessCheckByTypeAndAuditAlarmW|BOOL|SubsystemName:PWSTR,HandleId:void*,ObjectTypeName:PWSTR,ObjectName:PWSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatus:BOOL*,pfGenerateOnClose:BOOL*
AccessCheckByTypeResultList|BOOL|pSecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,ClientToken:HANDLE,DesiredAccess:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,PrivilegeSet:PRIVILEGE_SET*,PrivilegeSetLength:UINT*,GrantedAccessList:UINT*,AccessStatusList:UINT*
AccessCheckByTypeResultListAndAuditAlarmA|BOOL|SubsystemName:PSTR,HandleId:void*,ObjectTypeName:PSTR,ObjectName:PSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatusList:UINT*,pfGenerateOnClose:BOOL*
AccessCheckByTypeResultListAndAuditAlarmByHandleA|BOOL|SubsystemName:PSTR,HandleId:void*,ClientToken:HANDLE,ObjectTypeName:PSTR,ObjectName:PSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccess:UINT*,AccessStatusList:UINT*,pfGenerateOnClose:BOOL*
AccessCheckByTypeResultListAndAuditAlarmByHandleW|BOOL|SubsystemName:PWSTR,HandleId:void*,ClientToken:HANDLE,ObjectTypeName:PWSTR,ObjectName:PWSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccessList:UINT*,AccessStatusList:UINT*,pfGenerateOnClose:BOOL*
AccessCheckByTypeResultListAndAuditAlarmW|BOOL|SubsystemName:PWSTR,HandleId:void*,ObjectTypeName:PWSTR,ObjectName:PWSTR,SecurityDescriptor:PSECURITY_DESCRIPTOR,PrincipalSelfSid:PSID,DesiredAccess:UINT,AuditType:AUDIT_EVENT_TYPE,Flags:UINT,ObjectTypeList:OBJECT_TYPE_LIST*,ObjectTypeListLength:UINT,GenericMapping:GENERIC_MAPPING*,ObjectCreation:BOOL,GrantedAccessList:UINT*,AccessStatusList:UINT*,pfGenerateOnClose:BOOL*
AccessibleChildren|HRESULT|paccContainer:IAccessible,iChildStart:INT,cChildren:INT,rgvarChildren:VARIANT*,pcObtained:INT*
AccessibleObjectFromEvent|HRESULT|hwnd:HWND,dwId:UINT,dwChildId:UINT,ppacc:IAccessible*,pvarChild:VARIANT*
AccessibleObjectFromPoint|HRESULT|ptScreen:POINT,ppacc:IAccessible*,pvarChild:VARIANT*
AccessibleObjectFromWindow|HRESULT|hwnd:HWND,dwId:UINT,riid:Guid*,ppvObject:void**
AcquireCredentialsHandleA|HRESULT|pszPrincipal:PSTR,pszPackage:PSTR,fCredentialUse:SECPKG_CRED,pvLogonId:void*,pAuthData:void*,pGetKeyFn:SEC_GET_KEY_FN,pvGetKeyArgument:void*,phCredential:SecHandle*,ptsExpiry:LONGLONG*
AcquireCredentialsHandleW|HRESULT|pszPrincipal:PWSTR,pszPackage:PWSTR,fCredentialUse:SECPKG_CRED,pvLogonId:void*,pAuthData:void*,pGetKeyFn:SEC_GET_KEY_FN,pvGetKeyArgument:void*,phCredential:SecHandle*,ptsExpiry:LONGLONG*
AcquireDeveloperLicense|HRESULT|hwndParent:HWND,pExpiration:FILETIME*
AcquireSRWLockExclusive|void|SRWLock:SRWLOCK*
AcquireSRWLockShared|void|SRWLock:SRWLOCK*
ActivateActCtx|BOOL|hActCtx:HANDLE,lpCookie:UINT_PTR*
ActivateAudioInterfaceAsync|HRESULT|deviceInterfacePath:PWSTR,riid:Guid*,activationParams:PROPVARIANT*,completionHandler:IActivateAudioInterfaceCompletionHandler,activationOperation:IActivateAudioInterfaceAsyncOperation*
ActivateKeyboardLayout|HKL|hkl:HKL,Flags:ACTIVATE_KEYBOARD_LAYOUT_FLAGS
ActivatePackageVirtualizationContext|HRESULT|context:PACKAGE_VIRTUALIZATION_CONTEXT_HANDLE,cookie:UINT_PTR*
AddAccessAllowedAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AccessMask:UINT,pSid:PSID
AddAccessAllowedAceEx|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,pSid:PSID
AddAccessAllowedObjectAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,ObjectTypeGuid:Guid*,InheritedObjectTypeGuid:Guid*,pSid:PSID
AddAccessDeniedAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AccessMask:UINT,pSid:PSID
AddAccessDeniedAceEx|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,pSid:PSID
AddAccessDeniedObjectAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,ObjectTypeGuid:Guid*,InheritedObjectTypeGuid:Guid*,pSid:PSID
AddAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,dwStartingAceIndex:UINT,pAceList:void*,nAceListLength:UINT
AddAtomA|USHORT|lpString:PSTR
AddAtomW|USHORT|lpString:PWSTR
AddAuditAccessAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,dwAccessMask:UINT,pSid:PSID,bAuditSuccess:BOOL,bAuditFailure:BOOL
AddAuditAccessAceEx|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,dwAccessMask:UINT,pSid:PSID,bAuditSuccess:BOOL,bAuditFailure:BOOL
AddAuditAccessObjectAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,ObjectTypeGuid:Guid*,InheritedObjectTypeGuid:Guid*,pSid:PSID,bAuditSuccess:BOOL,bAuditFailure:BOOL
AddClipboardFormatListener|BOOL|hwnd:HWND
AddClusterGroupDependency|UINT|hDependentGroup:HGROUP,hProviderGroup:HGROUP
AddClusterGroupDependencyEx|UINT|hDependentGroup:HGROUP,hProviderGroup:HGROUP,lpszReason:PWSTR
AddClusterGroupSetDependency|UINT|hDependentGroupSet:HGROUPSET,hProviderGroupSet:HGROUPSET
AddClusterGroupSetDependencyEx|UINT|hDependentGroupSet:HGROUPSET,hProviderGroupSet:HGROUPSET,lpszReason:PWSTR
AddClusterGroupToGroupSetDependency|UINT|hDependentGroup:HGROUP,hProviderGroupSet:HGROUPSET
AddClusterGroupToGroupSetDependencyEx|UINT|hDependentGroup:HGROUP,hProviderGroupSet:HGROUPSET,lpszReason:PWSTR
AddClusterNode|HNODE|hCluster:HCLUSTER,lpszNodeName:PWSTR,pfnProgressCallback:PCLUSTER_SETUP_PROGRESS_CALLBACK,pvCallbackArg:void*
AddClusterNodeEx|HNODE|hCluster:HCLUSTER,lpszNodeName:PWSTR,dwFlags:UINT,pfnProgressCallback:PCLUSTER_SETUP_PROGRESS_CALLBACK,pvCallbackArg:void*
AddClusterResourceDependency|UINT|hResource:HRESOURCE,hDependsOn:HRESOURCE
AddClusterResourceDependencyEx|UINT|hResource:HRESOURCE,hDependsOn:HRESOURCE,lpszReason:PWSTR
AddClusterResourceNode|UINT|hResource:HRESOURCE,hNode:HNODE
AddClusterResourceNodeEx|UINT|hResource:HRESOURCE,hNode:HNODE,lpszReason:PWSTR
AddClusterStorageNode|UINT|hCluster:HCLUSTER,lpszNodeName:PWSTR,pfnProgressCallback:PCLUSTER_SETUP_PROGRESS_CALLBACK,pvCallbackArg:void*,lpszClusterStorageNodeDescription:PWSTR,lpszClusterStorageNodeLocation:PWSTR
AddConditionalAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AceType:BYTE,AccessMask:UINT,pSid:PSID,ConditionStr:PWSTR,ReturnLength:UINT*
AddConsoleAliasA|BOOL|Source:PSTR,Target:PSTR,ExeName:PSTR
AddConsoleAliasW|BOOL|Source:PWSTR,Target:PWSTR,ExeName:PWSTR
AddCredentialsA|HRESULT|hCredentials:SecHandle*,pszPrincipal:PSTR,pszPackage:PSTR,fCredentialUse:UINT,pAuthData:void*,pGetKeyFn:SEC_GET_KEY_FN,pvGetKeyArgument:void*,ptsExpiry:LONGLONG*
AddCredentialsW|HRESULT|hCredentials:SecHandle*,pszPrincipal:PWSTR,pszPackage:PWSTR,fCredentialUse:UINT,pAuthData:void*,pGetKeyFn:SEC_GET_KEY_FN,pvGetKeyArgument:void*,ptsExpiry:LONGLONG*
AddCrossClusterGroupSetDependency|UINT|hDependentGroupSet:HGROUPSET,lpRemoteClusterName:PWSTR,lpRemoteGroupSetName:PWSTR
AddDelBackupEntryA|HRESULT|lpcszFileList:PSTR,lpcszBackupDir:PSTR,lpcszBaseName:PSTR,dwFlags:UINT
AddDelBackupEntryW|HRESULT|lpcszFileList:PWSTR,lpcszBackupDir:PWSTR,lpcszBaseName:PWSTR,dwFlags:UINT
AddDllDirectory|void*|NewDirectory:PWSTR
AddERExcludedApplicationA|BOOL|szApplication:PSTR
AddERExcludedApplicationW|BOOL|wszApplication:PWSTR
AddFontMemResourceEx|HANDLE|pFileView:void*,cjSize:UINT,pvResrved:void*,pNumFonts:UINT*
AddFontResourceA|INT|param0:PSTR
AddFontResourceExA|INT|name:PSTR,fl:FONT_RESOURCE_CHARACTERISTICS,res:void*
AddFontResourceExW|INT|name:PWSTR,fl:FONT_RESOURCE_CHARACTERISTICS,res:void*
AddFontResourceW|INT|param0:PWSTR
AddFormA|BOOL|hPrinter:PRINTER_HANDLE,Level:UINT,pForm:BYTE*
AddFormW|BOOL|hPrinter:PRINTER_HANDLE,Level:UINT,pForm:BYTE*
AddIPAddress|UINT|Address:UINT,IpMask:UINT,IfIndex:UINT,NTEContext:UINT*,NTEInstance:UINT*
AddISNSServerA|UINT|Address:PSTR
AddISNSServerW|UINT|Address:PWSTR
AddIScsiConnectionA|UINT|UniqueSessionId:ISCSI_UNIQUE_SESSION_ID*,Reserved:void*,InitiatorPortNumber:UINT,TargetPortal:ISCSI_TARGET_PORTALA*,SecurityFlags:ULONGLONG,LoginOptions:ISCSI_LOGIN_OPTIONS*,KeySize:UINT,Key:PSTR,ConnectionId:ISCSI_UNIQUE_SESSION_ID*
AddIScsiConnectionW|UINT|UniqueSessionId:ISCSI_UNIQUE_SESSION_ID*,Reserved:void*,InitiatorPortNumber:UINT,TargetPortal:ISCSI_TARGET_PORTALW*,SecurityFlags:ULONGLONG,LoginOptions:ISCSI_LOGIN_OPTIONS*,KeySize:UINT,Key:PSTR,ConnectionId:ISCSI_UNIQUE_SESSION_ID*
AddIScsiSendTargetPortalA|UINT|InitiatorInstance:PSTR,InitiatorPortNumber:UINT,LoginOptions:ISCSI_LOGIN_OPTIONS*,SecurityFlags:ULONGLONG,Portal:ISCSI_TARGET_PORTALA*
AddIScsiSendTargetPortalW|UINT|InitiatorInstance:PWSTR,InitiatorPortNumber:UINT,LoginOptions:ISCSI_LOGIN_OPTIONS*,SecurityFlags:ULONGLONG,Portal:ISCSI_TARGET_PORTALW*
AddIScsiStaticTargetA|UINT|TargetName:PSTR,TargetAlias:PSTR,TargetFlags:UINT,Persist:BOOLEAN,Mappings:ISCSI_TARGET_MAPPINGA*,LoginOptions:ISCSI_LOGIN_OPTIONS*,PortalGroup:ISCSI_TARGET_PORTAL_GROUPA*
AddIScsiStaticTargetW|UINT|TargetName:PWSTR,TargetAlias:PWSTR,TargetFlags:UINT,Persist:BOOLEAN,Mappings:ISCSI_TARGET_MAPPINGW*,LoginOptions:ISCSI_LOGIN_OPTIONS*,PortalGroup:ISCSI_TARGET_PORTAL_GROUPW*
AddIntegrityLabelToBoundaryDescriptor|BOOL|BoundaryDescriptor:HANDLE*,IntegrityLabel:PSID
AddJobA|BOOL|hPrinter:PRINTER_HANDLE,Level:UINT,pData:BYTE*,cbBuf:UINT,pcbNeeded:UINT*
AddJobW|BOOL|hPrinter:PRINTER_HANDLE,Level:UINT,pData:BYTE*,cbBuf:UINT,pcbNeeded:UINT*
AddLogContainer|BOOL|hLog:HANDLE,pcbContainer:ULONGLONG*,pwszContainerPath:PWSTR,pReserved:void*
AddLogContainerSet|BOOL|hLog:HANDLE,cContainer:USHORT,pcbContainer:ULONGLONG*,rgwszContainerPath:PWSTR*,pReserved:void*
AddMandatoryAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,MandatoryPolicy:UINT,pLabelSid:PSID
AddMonitorA|BOOL|pName:PSTR,Level:UINT,pMonitors:BYTE*
AddMonitorW|BOOL|pName:PWSTR,Level:UINT,pMonitors:BYTE*
AddPackageDependency|HRESULT|packageDependencyId:PWSTR,rank:INT,options:AddPackageDependencyOptions,packageDependencyContext:PACKAGEDEPENDENCY_CONTEXT*,packageFullName:PWSTR*
AddPackageDependency2|HRESULT|packageDependencyId:PWSTR,rank:INT,options:AddPackageDependencyOptions2,packageDependencyContext:PACKAGEDEPENDENCY_CONTEXT*,packageFullName:PWSTR*
AddPersistentIScsiDeviceA|UINT|DevicePath:PSTR
AddPersistentIScsiDeviceW|UINT|DevicePath:PWSTR
AddPointerInteractionContext|HRESULT|interactionContext:HINTERACTIONCONTEXT,pointerId:UINT
AddPortA|BOOL|pName:PSTR,hWnd:HWND,pMonitorName:PSTR
AddPortW|BOOL|pName:PWSTR,hWnd:HWND,pMonitorName:PWSTR
AddPrintDeviceObject|HRESULT|hPrinter:PRINTER_HANDLE,phDeviceObject:HANDLE*
AddPrintProcessorA|BOOL|pName:PSTR,pEnvironment:PSTR,pPathName:PSTR,pPrintProcessorName:PSTR
AddPrintProcessorW|BOOL|pName:PWSTR,pEnvironment:PWSTR,pPathName:PWSTR,pPrintProcessorName:PWSTR
AddPrintProvidorA|BOOL|pName:PSTR,Level:UINT,pProvidorInfo:BYTE*
AddPrintProvidorW|BOOL|pName:PWSTR,Level:UINT,pProvidorInfo:BYTE*
AddPrinterA|PRINTER_HANDLE|pName:PSTR,Level:UINT,pPrinter:BYTE*
AddPrinterConnection2A|BOOL|hWnd:HWND,pszName:PSTR,dwLevel:UINT,pConnectionInfo:void*
AddPrinterConnection2W|BOOL|hWnd:HWND,pszName:PWSTR,dwLevel:UINT,pConnectionInfo:void*
AddPrinterConnectionA|BOOL|pName:PSTR
AddPrinterConnectionW|BOOL|pName:PWSTR
AddPrinterDriverA|BOOL|pName:PSTR,Level:UINT,pDriverInfo:BYTE*
AddPrinterDriverExA|BOOL|pName:PSTR,Level:UINT,lpbDriverInfo:BYTE*,dwFileCopyFlags:UINT
AddPrinterDriverExW|BOOL|pName:PWSTR,Level:UINT,lpbDriverInfo:BYTE*,dwFileCopyFlags:UINT
AddPrinterDriverW|BOOL|pName:PWSTR,Level:UINT,pDriverInfo:BYTE*
AddPrinterW|PRINTER_HANDLE|pName:PWSTR,Level:UINT,pPrinter:BYTE*
AddRadiusServerA|UINT|Address:PSTR
AddRadiusServerW|UINT|Address:PWSTR
AddRefActCtx|void|hActCtx:HANDLE
AddResourceAttributeAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,pSid:PSID,pAttributeInfo:CLAIM_SECURITY_ATTRIBUTES_INFORMATION*,pReturnLength:UINT*
AddResourceToClusterSharedVolumes|UINT|hResource:HRESOURCE
AddSIDToBoundaryDescriptor|BOOL|BoundaryDescriptor:HANDLE*,RequiredSid:PSID
AddScopedPolicyIDAce|BOOL|pAcl:ACL*,dwAceRevision:ACE_REVISION,AceFlags:ACE_FLAGS,AccessMask:UINT,pSid:PSID
AddSecureMemoryCacheCallback|BOOL|pfnCallBack:PSECURE_MEMORY_CACHE_CALLBACK
AddSecurityPackageA|HRESULT|pszPackageName:PSTR,pOptions:SECURITY_PACKAGE_OPTIONS*
AddSecurityPackageW|HRESULT|pszPackageName:PWSTR,pOptions:SECURITY_PACKAGE_OPTIONS*
AddStroke|HRESULT|hrc:HRECOCONTEXT,pPacketDesc:PACKET_DESCRIPTION*,cbPacket:UINT,pPacket:BYTE*,pXForm:XFORM*
AddUsersToEncryptedFile|UINT|lpFileName:PWSTR,pEncryptionCertificates:ENCRYPTION_CERTIFICATE_LIST*
